quarter,国家,销售额,利润,销售额同比,利润同比
4,Guinea,371.08,-3.71,-75.68%,-94.65%
4,Kenya,606.12,24.24,0.57%,159.81%
4,Liberia,778.49,54.49,-19.26%,-20.29%
4,Madagascar,859.08,-25.77,-49.31%,-171.76%
4,Morocco,43.55,2.61,-94.68%,-93.62%
4,Mozambique,393.33,35.4,-39.9%,8.19%
4,Niger,958.9,-38.36,-29.01%,-1142.39%
4,Nigeria,1259.6599999999999,-27.650000000000002,51.94%,-433.53%
4,Sao Tome and Principe,973.62,0.0,1724.28%,-100.0%
4,Senegal,699.02,-20.97,-49.95%,-121.17%
4,Sierra Leone,364.23,0.0,84.3%,-100.0%
4,South Africa,1102.37,49.33,-3.86%,-28.36%
4,South Sudan,330.27,26.42,-57.05%,-214.52%
4,Sudan,984.51,29.54,144.94%,-467.41%
4,Togo,175.47,0.0,247.6%,-100.0%
4,Tunisia,253.34,10.13,38.2%,-21.04%
4,Uganda,696.6,69.66,-66.57%,222.2%
4,United Republic of Tanzania,70.25,5.62,-92.12%,-88.48%
4,Western Sahara,216.43,-10.82,-80.12%,-120.5%
4,Zimbabwe,641.5,-12.83,80.6%,175.32%
