year,国家,销售额,利润,销售额同比,利润同比
2020,Democratic Republic of the Congo,6432.26,56.010000000000005,20.55%,-60.21%
2020,Djibouti,1702.28,27.54,-36.97%,-164.71%
2020,Egypt,1320.04,-10.969999999999999,-30.53%,-70.87%
2020,Equatorial Guinea,1461.61,-12.49,-32.19%,-115.48%
2020,Eritrea,2903.85,-80.83,150.78%,-197.12%
2020,Ethiopia,2161.62,19.38,9.9%,-73.11%
2020,Gabon,1629.8899999999999,-117.29,-22.01%,-231.06%
2020,Ghana,3833.54,107.13999999999999,-16.07%,-1646.03%
2020,Guinea,1624.12,-21.0,-32.31%,-30.88%
2020,Guinea-Bissau,1258.62,48.89,-12.37%,-223.96%
2020,Kenya,2265.65,19.0,-1.16%,38.89%
2020,Lesotho,2044.9699999999998,45.68,17.6%,-63.69%
2020,Liberia,1563.01,11.46,-0.64%,-122.74%
2020,Libya,734.2500000000001,14.13,-60.8%,-45.06%
2020,Madagascar,1277.38,14.209999999999999,-43.38%,-85.78%
2020,Malawi,3738.83,52.63999999999999,0.06%,-50.74%
2020,Mali,1447.33,31.28,-16.52%,-154.75%
2020,Mauritania,3255.81,140.5,56.41%,172.71%
2020,Mauritius,1520.4,87.30000000000001,74.01%,-1076.51%
2020,Morocco,1437.8500000000001,-67.11,4.28%,-375.15%
2020,Mozambique,2461.7799999999997,93.74000000000001,-24.62%,-542.8%
2020,Namibia,2651.51,99.39999999999999,-7.44%,574.81%
2020,Niger,3471.28,-71.74,61.73%,-7.36%
2020,Nigeria,8187.759999999999,151.43999999999997,40.03%,-1171.0%
2020,Rwanda,1913.2400000000002,-13.330000000000002,-9.85%,-326.32%
2020,Sao Tome and Principe,1943.3300000000002,48.309999999999995,-35.54%,-157.22%
2020,Senegal,907.2,35.800000000000004,-35.61%,-61.23%
2020,Seychelles,949.2,31.889999999999997,-51.73%,-127.4%
2020,Sierra Leone,1410.68,-16.540000000000003,-18.81%,-60.68%
2020,Somalia,1544.08,108.88,-30.68%,69.86%
2020,South Africa,7971.1900000000005,-12.129999999999988,-10.88%,-73.4%
2020,South Sudan,1779.3,26.939999999999994,-26.74%,-130.87%
2020,Sudan,4690.8,56.37,19.21%,42.64%
2020,Swaziland,2166.13,-6.180000000000007,26.84%,-130.85%
2020,Togo,1907.4699999999998,-59.11,-15.48%,152.82%
2020,Tunisia,1854.5,35.879999999999995,20.78%,-57.36%
2020,Uganda,2482.83,136.76999999999998,30.62%,-487.89%
2020,United Republic of Tanzania,2096.2000000000003,-62.29,-0.73%,-225.74%
2020,Western Sahara,1120.68,43.449999999999996,-32.59%,3.82%
2020,Zambia,1623.8,-43.05,-16.7%,-146.48%
2020,Zimbabwe,1425.48,-14.67,-35.01%,-21.17%
