quarter,国家,销售额,利润,销售额同比,利润同比
3,Mauritius,361.28,3.61,-24.89%,-137.53%
3,Mozambique,562.83,5.63,-36.85%,-78.95%
3,Namibia,547.71,-38.34,-56.63%,-62.05%
3,Niger,812.17,-64.97,-0.68%,-894.25%
3,Nigeria,2519.48,90.89,206.64%,-468.72%
3,Rwanda,1323.41,-54.49000000000001,2355.76%,-1364.27%
3,Senegal,471.73,23.05,-23.13%,-175.13%
3,Seychelles,334.36,33.44,-64.08%,-28.15%
3,Somalia,262.21,26.22,53.24%,283.33%
3,South Africa,2569.18,100.22999999999999,712.72%,-1685.92%
3,South Sudan,760.52,-38.03,-46.99%,-131.71%
3,Sudan,1396.63,42.980000000000004,293.23%,-390.01%
3,Uganda,918.7,9.19,-6.1%,-76.51%
3,United Republic of Tanzania,202.36,-6.07,-78.6%,-inf%
3,Western Sahara,870.85,37.34,-47.43%,-31.99%
3,Zambia,55.79,-2.23,-90.49%,-105.43%
4,Algeria,651.66,-32.58,-4.42%,-219.47%
4,Angola,878.19,61.47,556.64%,410.55%
4,Benin,830.33,-8.3,78.26%,-278.11%
4,Burundi,181.34,-12.69,-78.24%,-35.42%
4,Cameroon,403.75,-12.11,-50.54%,-129.67%
4,Central African Republic,687.01,-13.74,250.18%,-12.48%
4,Congo,535.14,-26.76,-5.93%,78.16%
4,Democratic Republic of the Congo,481.62,14.45,-52.0%,-217.96%
4,Djibouti,338.99,-6.78,-28.11%,-117.97%
4,Egypt,506.78,-10.14,219.49%,-227.87%
4,Eritrea,310.64,3.11,72.86%,-65.41%
4,Ethiopia,649.92,-6.5,165.06%,32.65%
4,Ghana,432.32,17.29,18.01%,inf%
4,Guinea-Bissau,428.02,38.52,-34.95%,-199.69%
4,Kenya,737.57,36.88,-36.14%,-249.37%
4,Liberia,133.26,-8.0,-79.25%,-55.56%
4,Libya,106.59,-6.4,-91.78%,-106.72%
4,Madagascar,32.73,-0.65,-91.53%,-97.9%
4,Malawi,1028.89,45.97,2166.78%,1359.37%
4,Mauritius,148.56,10.4,-84.95%,-205.37%
4,Morocco,184.49,-7.38,-93.12%,-145.72%
4,Mozambique,159.81,-11.19,-91.27%,-114.17%
4,Namibia,951.26,95.13,2386.3%,-12454.55%
4,Nigeria,824.38,41.01,185.18%,-302.72%
4,Sao Tome and Principe,120.74,3.62,-85.91%,-106.04%
4,Seychelles,20.98,0.21,-97.6%,inf%
4,Sierra Leone,427.16,0.0,170.59%,-100.0%
4,Somalia,116.04,11.6,-92.43%,-80.61%
4,South Africa,2265.19,-96.49000000000001,787.23%,655.6%
4,South Sudan,579.24,40.55,9.93%,-253.89%
4,Sudan,679.3,47.55,183.89%,-1092.69%
4,Swaziland,801.25,-40.06,132.6%,-487.8%
4,Togo,346.36,-24.25,-42.29%,304.17%
4,Tunisia,665.22,33.26,-32.39%,15.21%
4,Uganda,680.17,68.02,9.77%,1338.05%
4,United Republic of Tanzania,859.82,-60.19,-1.34%,245.32%
4,Zambia,791.05,-47.46,118.96%,-1414.68%
4,Zimbabwe,394.28,-23.66,-29.95%,-520.25%
